Year,Name,Cat,Start_date,End_date
2016,JULIA,TS,2016-09-13T06,2016-09-21T06
2016,KARL,TS,2016-09-12T18,2016-09-26T00
2016,LISA,TS,2016-09-19T06,2016-09-26T12
2016,MATTHEW,Cat4,2016-09-28T12,2016-10-10T00
2016,NICOLE,Cat3,2016-10-04T06,2016-10-19T12
2016,OTTO,Cat2,2016-11-17T18,2016-11-26T12
2017,ARLENE,TS,2017-04-16T06,2017-04-22T18
2017,BRET,TS,2017-06-18T18,2017-06-20T09
2017,CINDY,TS,2017-06-19T18,2017-06-24T06
2017,FOUR,TD,2017-07-05T12,2017-07-07T12
2017,DON,TS,2017-07-17T00,2017-07-18T12
2017,EMILY,TS,2017-07-30T18,2017-08-02T00
2017,FRANKLIN,Cat1,2017-08-06T18,2017-08-10T12
2017,GERT,Cat1,2017-08-12T00,2017-08-18T18
2017,HARVEY,Cat3,2017-08-16T06,2017-09-02T12
2017,IRMA,Cat4,2017-08-30T00,2017-09-13T12
2017,JOSE,Cat4,2017-09-04T06,2017-09-25T06
2017,KATIA,Cat1,2017-09-05T12,2017-09-09T12
2017,LEE,Cat2,2017-09-14T18,2017-09-30T06
2017,MARIA,Cat4,2017-09-16T12,2017-10-02T12
2017,NATE,Cat1,2017-10-03T12,2017-10-11T00
2017,OPHELIA,Cat2,2017-10-06T12,2017-10-17T18
2017,PHILIPPE,TD,2017-10-27T18,2017-10-29T00
2017,RINA,TS,2017-11-04T12,2017-11-09T12
2018,ALBERTO,TS,2018-05-25T12,2018-05-31T12
2018,BERYL,TS,2018-07-04T12,2018-07-17T06
2018,CHRIS,Cat1,2018-07-05T06,2018-07-17T12
2018,DEBBY,TS,2018-08-02T18,2018-08-10T12
2018,ERNESTO,TS,2018-08-15T00,2018-08-19T06
2018,FLORENCE,Cat4,2018-08-30T06,2018-09-18T12
2018,GORDON,TS,2018-09-02T18,2018-09-07T18
2018,HELENE,Cat1,2018-09-07T12,2018-09-17T18
2018,ISAAC,TS,2018-09-07T12,2018-09-15T00
2018,JOYCE,TS,2018-09-12T00,2018-09-21T12
2018,ELEVEN,TD,2018-09-21T18,2018-09-22T18
2018,KIRK,TS,2018-09-22T06,2018-09-28T18
2018,LESLIE,Cat1,2018-09-22T00,2018-10-14T00
2018,MICHAEL,Cat4,2018-10-06T18,2018-10-15T18
2018,NADINE,TS,2018-10-08T12,2018-10-12T18
2018,OSCAR,Cat1,2018-10-26T18,2018-11-04T12
2019,ANDREA,TD,2019-05-20T18,2019-05-22T06
2019,BARRY,TS,2019-07-10T12,2019-07-16T06
2019,THREE,TD,2019-07-22T12,2019-07-23T12
2019,CHANTAL,TD,2019-08-20T18,2019-08-26T18
2019,DORIAN,Cat5,2019-08-24T06,2019-09-09T00
2019,ERIN,TD,2019-08-26T12,2019-08-29T18
2019,FERNAND,TS,2019-09-03T06,2019-09-05T00
2019,GABRIELLE,TS,2019-09-03T00,2019-09-11T12
2019,HUMBERTO,Cat2,2019-09-12T12,2019-09-20T12
2019,JERRY,Cat1,2019-09-17T00,2019-09-28T00
2019,IMELDA,TS,2019-09-17T12,2019-09-19T00
2019,KAREN,TS,2019-09-22T00,2019-09-27T12
2019,LORENZO,Cat4,2019-09-22T18,2019-10-04T06
2019,MELISSA,TS,2019-10-08T18,2019-10-14T18
2019,FIFTEEN,TD,2019-10-14T12,2019-10-17T12
2019,NESTOR,TS,2019-10-17T12,2019-10-21T00
2019,OLGA,TS,2019-10-25T12,2019-10-27T18
2019,PABLO,TS,2019-10-23T18,2019-10-29T00
2019,REBEKAH,TS,2019-10-27T00,2019-11-01T12
2019,SEBASTIEN,TS,2019-11-19T06,2019-11-27T12
2020,ARTHUR,TS,2020-05-16T18,2020-05-21T00
2020,BERTHA,TS,2020-05-27T06,2020-05-28T12
2020,CRISTOBAL,TS,2020-06-01T18,2020-06-12T06
2020,DOLLY,TS,2020-06-22T06,2020-06-25T00
2020,EDOUARD,TS,2020-07-04T06,2020-07-09T12
2020,FAY,TS,2020-07-05T12,2020-07-11T18
2020,GONZALO,TS,2020-07-20T12,2020-07-25T18
2020,HANNA,Cat1,2020-07-23T00,2020-07-26T18
2020,ISAIAS,Cat1,2020-07-28T12,2020-08-05T06
2020,TEN,TD,2020-07-29T18,2020-08-02T00
2020,JOSEPHINE,TS,2020-08-10T18,2020-08-16T12
2020,KYLE,TS,2020-08-14T12,2020-08-16T00
2020,LAURA,Cat4,2020-08-20T00,2020-08-29T06
2020,MARCO,TS,2020-08-20T18,2020-08-25T18
2020,OMAR,TD,2020-08-30T18,2020-09-06T06
2020,NANA,TS,2020-09-01T06,2020-09-04T00
2020,PAULETTE,Cat1,2020-09-07T00,2020-09-28T12
2020,RENE,TS,2020-09-06T18,2020-09-14T12
2020,SALLY,Cat1,2020-09-11T18,2020-09-18T06
2020,TEDDY,Cat3,2020-09-12T06,2020-09-24T06
2020,VICKY,TS,2020-09-14T00,2020-09-19T18
2020,BETA,TS,2020-09-17T06,2020-09-25T06
2020,WILFRED,TD,2020-09-17T00,2020-09-21T00
2020,ALPHA,TS,2020-09-14T12,2020-09-19T00
2020,GAMMA,TS,2020-10-02T00,2020-10-06T12
2020,DELTA,Cat3,2020-10-04T18,2020-10-11T18
2020,EPSILON,Cat2,2020-10-16T12,2020-10-26T12
2020,ZETA,Cat2,2020-10-24T12,2020-10-30T00
2020,ETA,Cat4,2020-10-31T18,2020-11-14T00
2020,THETA,TS,2020-11-08T12,2020-11-16T12
2020,IOTA,Cat4,2020-11-12T12,2020-11-18T12
2021,ANA,TS,2021-05-20T00,2021-05-24T00
2021,BILL,TS,2021-06-13T18,2021-06-16T00
2021,CLAUDETTE,TS,2021-06-17T18,2021-06-23T00
2021,DANNY,TS,2021-06-27T18,2021-06-29T00
2021,ELSA,Cat1,2021-06-30T18,2021-07-10T06
2021,FRED,TS,2021-08-09T18,2021-08-20T06
2021,GRACE,Cat2,2021-08-13T06,2021-08-21T12
2021,HENRI,TS,2021-08-15T00,2021-08-24T18
2021,IDA,Cat4,2021-08-26T12,2021-09-04T18
2021,KATE,TS,2021-08-27T12,2021-09-01T12
2021,JULIAN,TS,2021-08-28T12,2021-08-31T12
2021,LARRY,Cat2,2021-08-31T18,2021-09-11T18
2021,MINDY,TS,2021-09-08T18,2021-09-10T18
2021,NICHOLAS,TS,2021-09-12T12,2021-09-17T06
2021,ODETTE,TS,2021-09-16T06,2021-09-26T18
2021,PETER,TS,2021-09-19T00,2021-09-22T18
2021,ROSE,TS,2021-09-19T00,2021-09-24T06
2021,SAM,Cat4,2021-09-22T18,2021-10-07T06
2021,TERESA,TS,2021-09-24T06,2021-09-26T12
2021,VICTOR,TS,2021-09-29T00,2021-10-04T06
2021,WANDA,TS,2021-10-25T18,2021-11-08T00
2022,ALEX,TS,2022-06-02T18,2022-06-06T18
2022,BONNIE,Cat2,2022-06-27T18,2022-07-11T00
2022,COLIN,TD,2022-07-01T18,2022-07-02T18
2022,DANIELLE,Cat1,2022-08-31T12,2022-09-15T18
2022,EARL,Cat1,2022-09-02T18,2022-09-15T12
2022,FIONA,Cat3,2022-09-14T06,2022-09-27T18
2022,GASTON,TS,2022-09-19T12,2022-09-27T18
2022,IAN,Cat4,2022-09-22T18,2022-10-01T06
2022,HERMINE,TD,2022-09-23T06,2022-09-26T00
2022,ELEVEN,TD,2022-09-26T18,2022-09-29T12
2022,TWELVE,TD,2022-10-04T12,2022-10-06T18
2022,JULIA,Cat1,2022-10-06T12,2022-10-10T12
2022,KARL,TS,2022-10-11T12,2022-10-15T18
2022,LISA,Cat1,2022-10-30T18,2022-11-05T06
2022,MARTIN,Cat1,2022-10-30T18,2022-11-04T18
2022,NICOLE,TS,2022-11-06T12,2022-11-11T18
